carat,cut_ord,clarity_ord,price
1.22,4,3,6963.064946
1.01,2,5,5801.593908
0.71,3,5,3452.947494
1.01,5,2,4909.324218
0.27,5,6,551.6031429
0.52,4,4,1566.475099
1.01,4,3,5206.747448
0.59,5,3,1854.491034
1.01,2,3,4885.990282
2.03,5,2,13440.00921
1.35,4,5,8965.912737
0.74,5,3,3109.003533
0.9,4,3,4286.771616
0.3,2,5,-136.4319188
1.01,2,5,5801.593908
1.02,2,2,4511.822636
2.05,4,3,13904.70077
0.54,5,3,1436.320202
0.72,5,5,3857.338826
2,4,2,13028.72813
1.57,4,2,9432.458963
0.89,4,3,4203.137449
0.33,4,6,893.0295595
0.3,3,8,1397.352103
1.79,3,5,12485.43748
1.11,5,2,5745.665884
0.79,4,3,3366.795783
0.71,3,3,2537.343868
0.73,5,3,3025.369367
0.9,3,5,5041.996659
1.31,2,4,7852.817092
1.01,5,2,4909.324218
0.35,4,3,-313.1075462
0.41,4,5,1104.301079
0.32,4,5,351.59358
0.38,5,4,555.9753493
1.21,4,2,6421.628966
1,4,3,5123.113281
0.56,5,5,2519.192161
1,2,3,4802.356116
0.32,4,7,1267.197206
1.7,5,3,11137.88352
2.26,3,2,15042.83787
0.32,4,5,351.59358
0.4,3,7,1775.891956
2.13,3,2,13955.59371
0.7,4,5,3529.69191
2.01,4,3,13570.16411
1.15,4,3,6377.62578
0.71,5,4,3315.902846
1.35,4,6,9423.71455
0.51,5,3,1185.417702
0.34,5,8,2052.645935
1.58,5,4,10592.07534
2.05,2,2,13126.14179
0.41,5,4,806.8778491
0.6,1,3,1296.61087
0.31,5,8,1801.743435
0.64,3,3,1951.904702
0.71,4,3,2697.722451
0.55,5,5,2435.557994
1.26,3,6,8510.628468
1.03,4,4,5831.817594
1.01,4,2,4748.945635
0.25,3,6,63.57764404
0.9,4,3,4286.771616
0.45,4,4,981.0359325
0.3,5,8,1718.109268
0.9,2,2,3508.212637
0.8,3,5,4205.654993
0.33,4,4,-22.57406639
0.71,5,3,2858.101033
0.7,4,3,2614.088284
0.78,5,2,2985.738387
0.7,3,2,1995.907888
0.38,5,6,1471.578975
0.54,4,5,2191.545245
0.25,2,6,-96.80093879
2.5,2,5,18263.08473
0.72,2,4,2918.401264
0.41,5,5,1264.679662
2.03,5,2,13440.00921
1.24,4,3,7130.333279
0.92,4,2,3996.238136
1,1,2,4184.17572
0.57,5,4,2145.024514
0.54,5,3,1436.320202
1.08,4,2,5334.384801
0.54,3,7,2946.770288
0.63,3,5,2783.874161
1.58,4,3,9973.894943
0.3,3,5,23.94666399
1.56,5,6,11340.41063
0.26,3,6,147.2118106
0.57,5,5,2602.826327
0.39,5,8,2470.816768
1.13,3,2,5592.177051
1.09,5,3,6036.199363
1.52,5,2,9174.666713
1.01,3,4,5504.170678
1.21,4,2,6421.628966
0.5,5,3,1101.783535
1.33,4,2,7425.238965
0.52,3,5,1863.898329
0.33,5,2,-777.7991094
1.06,4,2,5167.116468
0.9,4,2,3828.969803
0.92,5,4,5072.220344
1.54,4,5,10554.9619
1,4,2,4665.311468
1.2,5,4,7413.977009
1,5,3,5283.491864
0.33,3,3,-640.7544622
0.38,5,8,2387.182601
0.55,5,6,2893.359807
0.31,4,5,267.9594134
1.13,5,4,6828.537843
0.33,4,3,-480.3758793
1.03,4,5,6289.619407
0.53,3,3,1031.928869
1,2,1,3886.75249
0.8,3,4,3747.85318
1.25,2,2,6435.408467
0.5,3,3,781.0263696
0.56,5,5,2519.192161
0.46,5,5,1682.850495
2.1,4,2,13865.06979
0.77,5,3,3359.906033
0.53,4,5,2107.911078
0.75,3,4,3329.682347
0.41,4,6,1562.102892
0.41,5,7,2180.283288
0.51,5,5,2101.021328
0.34,4,5,518.8619131
0.51,5,2,727.615889
0.3,4,3,-731.2783791
1.5,2,2,8526.262632
1.01,3,2,4588.567052
1.1,5,4,6577.635343
0.5,2,3,620.6477868
1,2,6,6175.761554
1.22,5,4,7581.245342
1.51,5,2,9091.032547
0.31,5,7,1343.941622
0.95,4,2,4247.140635
1.06,3,2,5006.737885
